wms_company_id,sku_code,order_id,shipment_id,order_line,original_order_qty,shipped_qty,create_date,closed_date
Michelin,950403_106,3933275,179598.0,1153340.0,1971.0,1971.0,2021-06-16 02:56:01,2021-06-16 15:40:11
Michelin,555774_101,3936131,179795.0,1154600.0,1056.0,1056.0,2021-06-16 10:51:01,2021-06-16 19:17:48
Michelin,401328_105,5400001575,179672.0,1153521.0,3.0,3.0,2021-06-16 04:41:02,2021-06-16 13:10:47
Michelin,964829_107,CTSC21061601,179571.0,1153257.0,274.0,274.0,2021-06-16 00:16:02,2021-06-16 13:34:36
Michelin,964829_107,CTSC21061601,179571.0,1153255.0,585.0,585.0,2021-06-16 00:16:02,2021-06-16 13:34:36
Michelin,964829_107,CTSC21061601,179571.0,1153256.0,566.0,566.0,2021-06-16 00:16:02,2021-06-16 13:34:36
Michelin,964829_107,3928191,179306.0,1152113.0,640.0,640.0,2021-06-15 05:21:09,2021-06-17 19:21:53
Michelin,964829_107,3928195,179308.0,1152115.0,640.0,640.0,2021-06-15 05:26:01,2021-06-17 19:21:53
Michelin,401328_105,3928213,179312.0,1152126.0,700.0,700.0,2021-06-15 05:31:01,2021-06-17 14:16:00
Michelin,825202_109,3928213,179312.0,1152127.0,100.0,100.0,2021-06-15 05:31:01,2021-06-17 14:16:00
Michelin,825202_109,3928216,179315.0,1152135.0,800.0,800.0,2021-06-15 05:36:01,2021-06-17 14:16:01
Michelin,439132_101,3928438,179405.0,1152259.0,4.0,4.0,2021-06-15 06:36:01,2021-06-17 13:56:31
Michelin,839180_101,3928522,179406.0,1152260.0,750.0,750.0,2021-06-15 06:46:01,2021-06-17 15:44:40
Michelin,839180_101,3928524,179408.0,1152262.0,750.0,750.0,2021-06-15 06:51:03,2021-06-17 15:44:41
Michelin,839180_101,3928637,179411.0,1152271.0,750.0,750.0,2021-06-15 06:56:01,2021-06-17 15:44:40
Michelin,839180_101,3928639,179412.0,1152272.0,750.0,750.0,2021-06-15 07:01:04,2021-06-17 15:44:39
Michelin,839180_101,3928643,179415.0,1152275.0,750.0,750.0,2021-06-15 07:01:05,2021-06-17 15:44:39
Michelin,839180_101,3928644,179413.0,1152273.0,750.0,750.0,2021-06-15 07:01:05,2021-06-17 15:44:39
Michelin,120217_105,3928777,179418.0,1152280.0,810.0,810.0,2021-06-15 07:21:03,2021-06-17 15:44:39
Michelin,423336_115,3928850,179428.0,1152426.0,10.0,10.0,2021-06-15 07:41:04,2021-06-17 13:56:45
Michelin,423336_115,3928850,179428.0,1152425.0,90.0,90.0,2021-06-15 07:41:04,2021-06-17 13:56:45
Michelin,243266_101,5400001576,179854.0,1155048.0,11.0,11.0,2021-06-17 05:11:02,2021-06-17 18:26:15
Michelin,439132_101,CTSC21061701,179808.0,1154956.0,30.0,30.0,2021-06-17 00:46:01,2021-06-17 13:57:00
Michelin,495612_124,CTSC21061702,179926.0,1155476.0,2.0,2.0,2021-06-17 08:41:01,2021-06-17 17:10:37
Michelin,495612_124,CTSC21061703,179927.0,1155477.0,32.0,32.0,2021-06-17 08:41:02,2021-06-17 17:10:37
Michelin,149203_110,3855647,174897.0,1123825.0,1.0,1.0,2021-05-26 08:41:05,2021-06-18 13:30:54
Michelin,428635_101,3919738,178771.0,1149270.0,420.0,420.0,2021-06-11 09:31:06,2021-06-18 18:25:15
Michelin,428635_101,3919742,178772.0,1149271.0,420.0,420.0,2021-06-11 09:31:06,2021-06-18 18:25:16
Michelin,439132_101,3919793,178804.0,1149309.0,405.0,405.0,2021-06-11 09:36:01,2021-06-18 14:37:47
Michelin,839180_101,3928641,179414.0,1152274.0,750.0,750.0,2021-06-15 07:01:05,2021-06-18 18:25:47
Michelin,401328_105,3936706,179809.0,1154957.0,555.0,555.0,2021-06-17 01:51:03,2021-06-18 14:37:30
Michelin,825202_109,3936706,179809.0,1154958.0,245.0,245.0,2021-06-17 01:51:03,2021-06-18 14:37:30
Michelin,401328_105,3936712,179810.0,1154959.0,800.0,800.0,2021-06-17 01:51:04,2021-06-18 14:37:31
Michelin,710345_120,3936756,179812.0,1154961.0,16.0,16.0,2021-06-17 02:31:02,2021-06-18 12:55:31
Michelin,892524_114,3936848,179819.0,1154975.0,133.0,133.0,2021-06-17 03:36:01,2021-06-18 15:38:29
Michelin,892524_114,3936849,179818.0,1154971.0,352.0,352.0,2021-06-17 03:36:01,2021-06-18 19:06:37
Michelin,495612_124,3938158,179913.0,1155352.0,550.0,550.0,2021-06-17 08:16:06,2021-06-18 14:37:16
Michelin,215487_110,3938254,179922.0,1155471.0,760.0,760.0,2021-06-17 08:31:08,2021-06-18 18:25:33
Michelin,389858_111,3937274,179856.0,1155064.0,86.0,86.0,2021-06-17 05:26:02,2021-06-19 18:31:06
Michelin,389858_111,3937274,179856.0,1155063.0,187.0,187.0,2021-06-17 05:26:02,2021-06-19 18:31:06
Michelin,428635_101,3938007,179904.0,1155260.0,420.0,420.0,2021-06-17 07:51:03,2021-06-19 18:41:42
